,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,DIFF,DEA,MACD,MACDX,MACDXPre,kdj_k,kdj_d,kdj_j,kdX,kdXPre,ema5,ema10,ema20,ema60,ROC-1,ROC+1,ROC-2,ROC+2,ROC-3,ROC+3,ROC-5,ROC+5,mavol5,mavol10
44,000002.SZ,20190211,27.27,27.69,26.89,27.67,27.68,-0.00999999999999801,-0.03612716763005062,448513.22,1222114.37,0.6753714329038978,0.4266806842709181,0.49738149726595937,0,0,82.91580089438823,80.35589345296525,88.0356157772342,0,0,27.33689227230492,26.797938213491282,26.175019424680517,25.2683771864041,-0.03612716763005062,-0.9757860498735205,-0.2882882882882821,0.36140224069388455,1.6905549430356517,-0.8312251535959538,6.1780506523407634,-1.6985905312613025,467857.76000000007,386106.64099999977
43,000002.SZ,20190212,27.45,27.58,26.85,27.4,27.67,-0.2700000000000031,-0.9757860498735205,510238.63,1387073.367,0.6865430656764353,0.4786531605520215,0.4157798102488276,0,0,80.30252987690723,80.33810559427924,80.23137844216322,-1,0,27.35792818153661,26.9074039928565,26.291684241377872,25.33827567219387,-0.9757860498735205,1.3503649635036534,-1.0115606936416226,0.14598540145986388,-1.2612612612612664,-3.1021897810218904,1.9345238095238078,-1.3503649635036403,496291.16000000003,399196.82399999985
42,000002.SZ,20190213,27.35,27.98,27.13,27.77,27.4,0.370000000000001,1.3503649635036534,671739.48,1849718.606,0.7169875863016735,0.5263200457019519,0.38133508119944315,0,0,81.373847756766,80.68335298177483,82.75483730674833,1,0,27.49528545435774,27.06423963051896,26.43247621838979,25.418014504334735,1.3503649635036534,-1.1883327331652802,0.36140224069388455,-4.393230104429236,0.3251445086705197,-2.052574720921859,2.0580668871738284,-0.504141159524669,512178.42000000004,451686.06899999984
41,000002.SZ,20190214,27.59,27.68,27.17,27.44,27.77,-0.3299999999999983,-1.1883327331652802,548813.88,1501936.309,0.7063445459436579,0.5623249457502931,0.2880392003867296,0,0,76.565616018635,79.31077399406155,71.07530006778188,-1,0,27.476856969571827,27.132559697697328,26.528430864257608,25.484317286346357,-1.1883327331652802,-3.2434402332361536,0.14598540145986388,-0.8746355685131266,-0.8312251535959538,-1.494169096209913,-1.1171171171171124,-1.785714285714293,539569.676,483074.35199999984
40,000002.SZ,20190215,27.29,27.42,26.5,26.55,27.44,-0.8900000000000006,-3.2434402332361536,622319.82,1674145.046,0.6189593201250894,0.5736518206252524,0.09061499899967385,0,0,60.68913408334532,73.10356069048947,35.86028086905702,0,0,27.167904646381217,27.026639752661453,26.530485067661647,25.51926187082314,-3.2434402332361536,2.4482109227871884,-4.393230104429236,1.8079096045197756,-3.1021897810218904,4.067796610169485,-4.082369942196528,1.5819209039547952,560325.0059999999,500130.7169999999
39,000002.SZ,20190218,26.85,27.2,26.67,27.2,26.55,0.6499999999999986,2.4482109227871884,689164.95,1857391.137,0.5952932962095012,0.5779801157421022,0.034626360934798095,0,0,54.025314195098424,66.74414519202578,28.587652201243714,0,0,27.17860309758748,27.058159797632094,26.594248394551112,25.574374396434155,2.4482109227871884,-0.6249999999999932,-0.8746355685131266,1.5808823529411753,-2.052574720921859,-0.9191176470588236,-1.6985905312613025,4.375000000000004,608455.352,538156.556
38,000002.SZ,20190219,27.35,27.39,26.91,27.03,27.2,-0.16999999999999815,-0.6249999999999932,581793.8,1578093.49,0.5564063168404978,0.5736653559617814,-0.03451807824256714,-1,0,46.28819395952301,59.925494781191524,19.013592316185978,0,0,27.12906873172499,27.053039834426258,26.635748547451062,25.62210515146283,-0.6249999999999932,2.2197558268590374,1.8079096045197756,-0.2959674435812129,-1.494169096209913,-0.22197558268591297,-1.3503649635036403,2.8116907140214504,622766.3859999999,559528.7729999999
37,000002.SZ,20190220,27.0,27.88,26.78,27.63,27.03,0.5999999999999979,2.2197558268590374,708069.79,1946411.546,0.5674617453167912,0.5724246338327833,-0.009925777031984273,0,0,52.758020779216885,57.53633678053331,43.20138877658404,0,0,27.296045821149992,27.157941682712394,26.73043916197965,25.68794487445272,2.2197558268590374,-2.461093014838942,1.5808823529411753,-2.38870792616721,4.067796610169485,2.7506333695258833,-0.504141159524669,1.375316684762948,630032.448,571105.434
36,000002.SZ,20190221,27.5,27.6,26.81,26.95,27.63,-0.6799999999999997,-2.461093014838942,616527.27,1673690.928,0.5154115910741837,0.5610220252810634,-0.09122086841375943,0,0,45.30714898794637,53.459940849671,29.001565264497117,0,0,27.180697214099993,27.12013410403741,26.75134971798161,25.729328050417774,-2.461093014838942,0.07421150278292978,-0.2959674435812129,5.343228200371063,-0.9191176470588236,3.1168831168831166,-1.785714285714293,3.858998144712427,643575.1259999999,591572.401
35,000002.SZ,20190222,26.87,26.98,26.25,26.97,26.95,0.019999999999999574,0.07421150278292978,616049.02,1637780.572,0.47035336092772795,0.5428882924103963,-0.14506986296533664,0,0,44.07759836190642,50.33249335374947,31.56780837822032,0,0,27.110464809399996,27.092836994212426,26.772173554364333,25.77000992622833,0.07421150278292978,5.26510938079348,-2.38870792616721,3.0404152762328525,-0.22197558268591297,3.8561364479050897,1.5819209039547952,5.821282906933631,642320.966,601322.9859999999
